rundate,report_period,span,chunk,annus,tot_movements,pc_tot,at_movements,pc_at,terminal_pax,pc_pax
17/03/2016 11:28,2015,1991 - 2015,1,1991,2835016,-10.44702948,1348181,-3.557037138,95210905,-6.443211761
17/03/2016 11:28,2015,1991 - 2015,1,1992,2768823,-2.334836911,1427418,5.877326561,105582271,10.89304424
17/03/2016 11:28,2015,1991 - 2015,1,1993,2783301,0.522893663,1459812,2.269412324,111639591,5.73706167
17/03/2016 11:28,2015,1991 - 2015,1,1994,2894524,3.99608235,1525990,4.533323469,121572639,8.897424212
17/03/2016 11:28,2015,1991 - 2015,1,1995,3041713,5.085084802,1589138,4.138166043,128784077,5.931793584
17/03/2016 11:28,2015,1991 - 2015,2,1996,3045940,0.138967746,1663404,4.673351213,135207891,4.988049881
17/03/2016 11:28,2015,1991 - 2015,2,1997,3181458,4.449135571,1740251,4.619863845,145986866,7.972149347
17/03/2016 11:28,2015,1991 - 2015,2,1998,3324787,4.505135696,1841464,5.816000106,158115525,8.308048068
17/03/2016 11:28,2015,1991 - 2015,2,1999,3334999,0.307147495,1931711,4.900828906,167618951,6.010431929
17/03/2016 11:28,2015,1991 - 2015,2,2000,3344188,0.275532317,2015577,4.341539702,179125472,6.864689781
17/03/2016 11:28,2015,1991 - 2015,3,2001,3407449,1.891669966,2068872,2.644155991,180500663,0.767724983
17/03/2016 11:28,2015,1991 - 2015,3,2002,3268537,-4.076715455,2067075,-0.086858926,188031241,4.172050049
17/03/2016 11:28,2015,1991 - 2015,3,2003,3415890,4.508224934,2128020,2.948369072,199211305,5.945854498
17/03/2016 11:28,2015,1991 - 2015,3,2004,3479207,1.853601843,2242718,5.389892952,214925951,7.88843083
17/03/2016 11:28,2015,1991 - 2015,3,2005,3606651,3.663018613,2370823,5.712042263,227413252,5.810048038
17/03/2016 11:28,2015,1991 - 2015,4,2006,3589512,-0.475205391,2417135,1.953414489,234416085,3.079342535
17/03/2016 11:28,2015,1991 - 2015,4,2007,3606090,0.46184551,2460919,1.811400687,239969513,2.369047329
17/03/2016 11:28,2015,1991 - 2015,4,2008,3483882,-3.38893372,2406643,-2.205517532,235360813,-1.920535631
17/03/2016 11:28,2015,1991 - 2015,4,2009,3202241,-8.084114215,2194920,-8.797441083,218126313,-7.322586874
17/03/2016 11:28,2015,1991 - 2015,4,2010,2940777,-8.165031926,2069786,-5.701073388,210655826,-3.424844484
17/03/2016 11:28,2015,1991 - 2015,5,2011,2958608,0.606336353,2115941,2.22994068,219289421,4.098436376
17/03/2016 11:28,2015,1991 - 2015,5,2012,2912859,-1.546301504,2088836,-1.280990349,220643651,0.617553731
17/03/2016 11:28,2015,1991 - 2015,5,2013,2889444,-0.803849414,2106353,0.83860102,228382236,3.507277443
17/03/2016 11:28,2015,1991 - 2015,5,2014,2893817,0.151343996,2129900,1.117903789,238385366,4.379994773
17/03/2016 11:28,2015,1991 - 2015,5,2015,2945441,1.783941417,2180931,2.395934081,251478601,5.492465926
