rundate,report_period,span,chunk,annus,tot_atms,tot_term_pax,tot_uk_schd_atms,tot_uk_schd_term_pax,tot_uk_chrt_atms,tot_uk_chrt_term_pax,tot_os_schd_atms,tot_os_schd_term_pax,tot_os_chrt_atms,tot_os_chrt_term_pax
17/03/2016 11:28,2015,1991 - 2015,1,1991,1348380,95210905,703633,45006945,309838,20406267,300395,26719149,34514,3078544
17/03/2016 11:28,2015,1991 - 2015,1,1992,1427418,105582271,753994,49121396,310746,23993381,328047,29241096,34631,3226398
17/03/2016 11:28,2015,1991 - 2015,1,1993,1459690,111639591,778452,52057290,307152,25387118,336222,30670401,37864,3524782
17/03/2016 11:28,2015,1991 - 2015,1,1994,1464969,121572639,820964,56820381,247161,27993195,358229,32773555,38615,3985508
17/03/2016 11:28,2015,1991 - 2015,1,1995,1530121,128784077,859359,61545893,260024,28424794,370360,34614638,40378,4198752
17/03/2016 11:28,2015,1991 - 2015,2,1996,1609774,135207891,910358,66700800,256227,26760587,401496,37377128,41693,4369376
17/03/2016 11:28,2015,1991 - 2015,2,1997,1681167,145986866,960956,72117856,263986,29165391,413101,40353102,43124,4350517
17/03/2016 11:28,2015,1991 - 2015,2,1998,1782358,158115525,1018798,78583587,270187,32000523,443172,43019097,50201,4512318
17/03/2016 11:28,2015,1991 - 2015,2,1999,1873185,167618843,1076594,83199158,264649,32978625,485466,47324985,46476,4116075
17/03/2016 11:28,2015,1991 - 2015,2,2000,1956947,179125472,1127525,89456013,266642,33539387,513577,52183744,49203,3946328
17/03/2016 11:28,2015,1991 - 2015,3,2001,2005458,180500663,1174722,89291288,259546,34453926,509863,52799628,61327,3955821
17/03/2016 11:28,2015,1991 - 2015,3,2002,1997726,188031241,1168248,93467913,264176,34348421,515793,56268890,49509,3946017
17/03/2016 11:28,2015,1991 - 2015,3,2003,2058596,199211305,1169210,98758317,252379,33770860,589120,62618962,47887,4063166
17/03/2016 11:28,2015,1991 - 2015,3,2004,2176098,214925951,1240480,107702586,237621,32549041,645337,70509623,52660,4164701
17/03/2016 11:28,2015,1991 - 2015,3,2005,2300967,227413252,1320568,115201398,236503,30547207,687883,77563113,56013,4101534
17/03/2016 11:28,2015,1991 - 2015,4,2006,2344432,234416085,1331126,117424611,241823,30061290,715107,83146072,56376,3784112
17/03/2016 11:28,2015,1991 - 2015,4,2007,2378739,239969513,1333318,120892600,238099,28856072,755578,86819543,51744,3401298
17/03/2016 11:28,2015,1991 - 2015,4,2008,2327258,235360813,1274862,117028011,226744,26215923,777316,89079498,48336,3037381
17/03/2016 11:28,2015,1991 - 2015,4,2009,2124180,218126313,1157725,108764003,207350,22100790,718570,85183953,40535,2077567
17/03/2016 11:28,2015,1991 - 2015,4,2010,2002488,210655826,1085925,102938017,193492,20897216,685150,84987497,37921,1833096
17/03/2016 11:28,2015,1991 - 2015,5,2011,2046191,219289421,1129764,110939932,197975,20838037,681550,86247463,36902,1263989
17/03/2016 11:28,2015,1991 - 2015,5,2012,2015092,220643651,1108845,113893245,192322,19284300,677667,86397340,36258,1068766
17/03/2016 11:28,2015,1991 - 2015,5,2013,2031108,228382236,1105343,118338156,195451,18251720,684700,90363793,45614,1428567
17/03/2016 11:28,2015,1991 - 2015,5,2014,2058669,238385366,1117048,124612209,189708,16755600,706423,95495879,45490,1521678
17/03/2016 11:28,2015,1991 - 2015,5,2015,2110831,251478601,1154079,128852072,179820,16400901,732240,104698620,44692,1527008
