rundate,report_period,apt_cluster,intended_apt,total_diversions,total_jan,total_feb,total_mar,total_apr,total_may,total_jun,total_jul,total_aug,total_sep,total_oct,total_nov,total_dec
17/03/2016 11:40,2015,A,GATWICK,19,2,2,2,1,0,1,1,0,2,1,6,1
17/03/2016 11:40,2015,A,HEATHROW,15,2,0,0,1,2,0,1,1,1,3,3,1
17/03/2016 11:40,2015,A,LONDON CITY,210,23,9,9,8,50,10,11,15,5,6,30,34
17/03/2016 11:40,2015,A,LUTON,16,6,1,1,1,0,1,3,0,1,0,2,0
17/03/2016 11:40,2015,A,SOUTHEND,16,4,1,2,1,0,0,0,0,0,0,8,0
17/03/2016 11:40,2015,A,STANSTED,18,3,2,3,3,0,0,1,0,0,3,3,0
17/03/2016 11:40,2015,B,ABERDEEN,35,1,0,19,1,0,0,0,0,1,0,8,5
17/03/2016 11:40,2015,B,ALDERNEY,3,0,0,0,0,0,0,0,3,0,0,0,0
17/03/2016 11:40,2015,B,BARRA,1,0,0,1,0,0,0,0,0,0,0,0,0
17/03/2016 11:40,2015,B,BELFAST CITY (GEORGE BEST),17,2,0,2,1,0,0,1,1,6,1,2,1
17/03/2016 11:40,2015,B,BELFAST INTERNATIONAL,1,0,0,0,0,0,0,0,0,0,1,0,0
17/03/2016 11:40,2015,B,BIGGIN HILL,1,0,0,0,0,0,0,0,1,0,0,0,0
17/03/2016 11:40,2015,B,BIRMINGHAM,21,7,1,1,0,0,0,1,0,0,0,10,1
17/03/2016 11:40,2015,B,BOURNEMOUTH,1,0,0,0,0,0,0,1,0,0,0,0,0
17/03/2016 11:40,2015,B,BRISTOL,34,1,0,0,0,0,0,2,12,3,2,12,2
17/03/2016 11:40,2015,B,CARDIFF WALES,6,0,0,0,0,0,2,0,0,0,0,3,1
17/03/2016 11:40,2015,B,CITY OF DERRY (EGLINTON),8,0,0,2,2,0,0,0,2,0,0,0,2
17/03/2016 11:40,2015,B,DONCASTER SHEFFIELD,3,0,0,1,0,0,0,0,0,0,2,0,0
17/03/2016 11:40,2015,B,DUNDEE,5,0,1,2,0,1,1,0,0,0,0,0,0
17/03/2016 11:40,2015,B,DURHAM TEES VALLEY,3,1,0,0,0,0,0,0,0,2,0,0,0
17/03/2016 11:40,2015,B,EAST MIDLANDS INTERNATIONAL,20,1,7,2,5,0,0,0,0,1,1,2,1
17/03/2016 11:40,2015,B,EDINBURGH,1,0,0,0,0,0,0,0,0,0,0,1,0
17/03/2016 11:40,2015,B,EXETER,1,0,0,0,0,0,0,0,0,0,1,0,0
17/03/2016 11:40,2015,B,GLASGOW,12,3,1,3,0,0,0,0,0,1,2,1,1
17/03/2016 11:40,2015,B,GUERNSEY,15,2,0,1,0,2,2,4,4,0,0,0,0
17/03/2016 11:40,2015,B,HAWARDEN,1,0,0,0,0,0,0,0,0,0,0,1,0
17/03/2016 11:40,2015,B,HUMBERSIDE,7,0,2,2,0,0,0,0,0,1,1,1,0
17/03/2016 11:40,2015,B,INVERNESS,4,1,0,2,0,0,0,0,0,0,0,0,1
17/03/2016 11:40,2015,B,ISLE OF MAN,6,0,1,1,2,0,0,0,0,0,0,1,1
17/03/2016 11:40,2015,B,JERSEY,5,1,0,0,0,0,1,3,0,0,0,0,0
17/03/2016 11:40,2015,B,KIRKWALL,3,0,1,1,0,0,1,0,0,0,0,0,0
17/03/2016 11:40,2015,B,LEEDS BRADFORD,89,19,3,7,2,2,1,0,1,4,12,17,21
17/03/2016 11:40,2015,B,LIVERPOOL (JOHN LENNON),8,0,1,1,3,0,0,0,0,0,1,2,0
17/03/2016 11:40,2015,B,MANCHESTER,72,23,2,18,4,2,2,1,0,2,0,17,1
17/03/2016 11:40,2015,B,NEWCASTLE,2,0,0,0,0,1,0,0,0,0,0,0,1
17/03/2016 11:40,2015,B,NEWQUAY,3,0,0,0,0,1,1,0,0,1,0,0,0
17/03/2016 11:40,2015,B,NORWICH,1,0,0,0,0,0,0,0,0,0,0,0,1
17/03/2016 11:40,2015,B,PRESTWICK,1,0,0,0,1,0,0,0,0,0,0,0,0
17/03/2016 11:40,2015,B,SCATSTA,1,0,1,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:40,2015,B,SOUTHAMPTON,13,0,0,0,2,1,1,0,3,1,0,5,0
17/03/2016 11:40,2015,B,STORNOWAY,2,0,0,0,0,0,0,0,1,0,0,1,0
17/03/2016 11:40,2015,B,SUMBURGH,3,0,0,0,0,0,0,2,0,0,0,0,1
17/03/2016 11:40,2015,B,WICK JOHN O GROATS,3,0,0,0,0,1,0,0,0,0,0,1,1
17/03/2016 11:40,2015,C,Overseas Airports,61,11,2,5,5,2,5,6,5,2,7,11,0
