rundate,report_period,span,eu,Regn_num,Region_name,y01,y02,y03,y04,y05,y06,y07,y08,y09,y10,y11
17/03/2016 11:41,2015,2005 - 2015,1,10,AUSTRIA,1796030,1787836,1876795,1825637,1745736,1661810,1704713,1669179,1545213,1620872,1780154
17/03/2016 11:41,2015,2005 - 2015,1,20,BELGIUM,1711558,1625816,1624523,1398195,1185493,1121230,1233617,1294564,1286722,1439692,1591784
17/03/2016 11:41,2015,2005 - 2015,1,21,BULGARIA,771098,919307,952628,992445,880830,858427,878146,909121,978780,1005469,1126581
17/03/2016 11:41,2015,2005 - 2015,1,22,CROATIA,397276,567866,658586,575793,619642,623176,655533,761913,892577,976246,1058726
17/03/2016 11:41,2015,2005 - 2015,1,24,CYPRUS,2988896,3005786,2969366,2951229,2702559,2596514,2658830,2517610,2330502,2293054,2408905
17/03/2016 11:41,2015,2005 - 2015,1,25,CZECH REPUBLIC,2354716,2158779,2071232,1817061,1515628,1276062,1295290,1369672,1387425,1506439,1746582
17/03/2016 11:41,2015,2005 - 2015,1,30,DENMARK,2255265,2305541,2345550,2394887,2451811,2406962,2559001,2568261,2785365,2978667,3366372
17/03/2016 11:41,2015,2005 - 2015,1,35,ESTONIA,186204,178309,179377,156827,99236,104391,244073,173049,143684,146702,147197
17/03/2016 11:41,2015,2005 - 2015,1,40,FINLAND,798840,930630,944546,960923,946250,982801,1009508,969404,1021102,1114717,1151690
17/03/2016 11:41,2015,2005 - 2015,1,50,FRANCE,11009372,11574619,11790462,11683710,10732377,9663933,10273276,10235931,10401548,10668560,11040353
17/03/2016 11:41,2015,2005 - 2015,1,60,GERMANY,10938150,11503380,11608664,11157572,10717067,11170256,11642226,11856618,12210845,12484570,13300465
17/03/2016 11:41,2015,2005 - 2015,1,70,GREECE,5596752,5521674,5457453,5199575,4874126,4724433,4778358,4797772,4953615,5615015,6096399
17/03/2016 11:41,2015,2005 - 2015,1,72,HUNGARY,1118937,1013666,960245,1096164,960754,954690,1037318,1245360,1330031,1506783,1736724
17/03/2016 11:41,2015,2005 - 2015,1,80,IRISH REPUBLIC,11791916,12361575,12259633,12321143,10897270,9555607,9728101,9514249,9690099,10435829,11577083
17/03/2016 11:41,2015,2005 - 2015,1,90,ITALY,10714691,10574073,11208864,10740189,9915202,9620884,10261646,10847314,11034407,11922511,12704564
17/03/2016 11:41,2015,2005 - 2015,1,93,LATVIA,309000,461205,479098,464232,458370,549904,584526,503581,544342,608283,718373
17/03/2016 11:41,2015,2005 - 2015,1,94,LITHUANIA,221954,319430,339907,358583,318534,473475,564041,728268,739874,737999,835760
17/03/2016 11:41,2015,2005 - 2015,1,95,MALTA,1110146,1055028,1148322,1100777,1023685,1037703,1091366,1111463,1160548,1231056,1289450
17/03/2016 11:41,2015,2005 - 2015,1,100,NETHERLANDS,7887673,8258468,8352730,7660053,6972979,6876857,7550549,7770895,8183647,8749648,9457039
17/03/2016 11:41,2015,2005 - 2015,1,105,POLAND,1845842,3329659,4351816,5022767,4228339,4226050,4261221,4619406,5312235,5206473,6164007
17/03/2016 11:41,2015,2005 - 2015,1,110,PORTUGAL,4540094,4743805,5271646,5448388,4949512,4896680,5339603,5141274,5459341,6104810,6600909
17/03/2016 11:41,2015,2005 - 2015,1,115,ROMANIA,157433,194466,333255,487685,552845,630609,717069,771967,826253,1154033,1552772
17/03/2016 11:41,2015,2005 - 2015,1,120,SPAIN,34556800,34896213,35539403,34558848,30425339,28712845,31483032,31291563,32744754,34275594,35735198
17/03/2016 11:41,2015,2005 - 2015,1,124,SLOVAK REPUBLIC,284627,469738,529440,715603,563008,505240,468821,454400,439543,509387,653367
17/03/2016 11:41,2015,2005 - 2015,1,125,SLOVENIA,156922,183237,190398,168181,139181,126750,127369,118263,139227,139883,163734
17/03/2016 11:41,2015,2005 - 2015,1,130,SWEDEN,2320747,2290123,2268144,2296433,2073555,2188991,2539793,2490407,2568064,2597500,2674508
17/03/2016 11:41,2015,2005 - 2015,1,140,OTHER EU,537088,547723,555001,620771,565368,516668,643091,668989,762376,802817,845548
17/03/2016 11:41,2015,2005 - 2015,2,160,NORWAY,1726212,1892637,1856603,1990255,2015706,2082774,2238690,2429517,2743216,2749987,2738519
17/03/2016 11:41,2015,2005 - 2015,2,170,SWITZERLAND,4502042,4958519,5142875,5416242,5228904,5244518,5806239,5862780,5908071,6099970,6251325
17/03/2016 11:41,2015,2005 - 2015,2,180,TURKEY,3550907,3408294,3887067,4354868,4898631,5455808,5183887,5105502,5443682,5738214,5665977
17/03/2016 11:41,2015,2005 - 2015,2,190,OTHER WESTERN EUROPE,150867,168724,189053,193891,177864,199855,214724,215639,216256,245261,271320
17/03/2016 11:41,2015,2005 - 2015,2,200,OTHER EASTERN EUROPE,1098660,1216566,1290938,1297519,1212076,1317672,1501081,1559346,1677717,1591362,1439047
17/03/2016 11:41,2015,2005 - 2015,2,220,NEAR EAST,1052130,1021962,1065096,1219666,1298591,1244722,1294952,1282582,1371181,1393187,1444846
17/03/2016 11:41,2015,2005 - 2015,2,230,NORTH AFRICA,2776309,3465934,3632586,3641099,4071069,4679655,3617455,3791241,3999656,4089282,3547057
17/03/2016 11:41,2015,2005 - 2015,2,240,EAST AFRICA,736198,774247,863500,719696,779281,773430,816251,680398,538200,558080,497389
17/03/2016 11:41,2015,2005 - 2015,2,250,WEST AFRICA,915611,984946,1041868,1036935,969838,933298,986042,1026691,1013931,982342,853924
17/03/2016 11:41,2015,2005 - 2015,2,260,CENTRAL AFRICA,67448,69450,67975,65887,65215,73435,82643,81981,71401,37547,29968
17/03/2016 11:41,2015,2005 - 2015,2,270,SOUTHERN AFRICA,1733495,1771050,1817772,1613783,1508095,1410012,1346558,1315127,1305476,1362032,1356159
17/03/2016 11:41,2015,2005 - 2015,2,280,MIDDLE EAST,4301555,4846924,5433000,5651079,6159754,6533231,6871129,7128181,7893114,8515024,9374534
17/03/2016 11:41,2015,2005 - 2015,2,290,INDIAN SUB-CONTINENT,2677304,3475118,3618575,3546346,3396581,3417946,3516286,3301339,3599343,3626782,3466029
17/03/2016 11:41,2015,2005 - 2015,2,300,FAR EAST,4726268,5019798,5138619,4875623,4929010,4902916,5004586,5224956,5519484,5797962,6197232
17/03/2016 11:41,2015,2005 - 2015,2,310,JAPAN,1184502,1085254,1031450,963123,779606,683822,653121,720369,698697,723169,611328
17/03/2016 11:41,2015,2005 - 2015,2,320,AUSTRALIA AND NEW ZEALAND,1400083,1383891,1554564,1637352,1475338,1416339,1359367,1011598,895310,614376,569574
17/03/2016 11:41,2015,2005 - 2015,2,330,CANADA,3605803,3633959,3865164,3522032,3102932,3064637,3142120,3163195,3079695,3163449,3154275
17/03/2016 11:41,2015,2005 - 2015,2,340,UNITED STATES OF AMERICA,18290673,18075540,18560426,18152320,16351875,15822806,16900967,17259850,17487419,17870461,18618527
17/03/2016 11:41,2015,2005 - 2015,2,350,CENTRAL AMERICA,1270169,1353047,1334395,1380260,1239869,1259300,1261132,1175978,1330924,1412147,1540878
17/03/2016 11:41,2015,2005 - 2015,2,360,SOUTH AMERICA,379228,360939,395454,414578,474072,503244,681925,792510,795924,841059,890703
17/03/2016 11:41,2015,2005 - 2015,2,370,CARIBBEAN,1827877,1902622,1948200,1947233,1832556,1728488,1738356,1583658,1535567,1623556,1808195
17/03/2016 11:41,2015,2005 - 2015,2,380,OIL RIGS,626917,713158,767702,763307,752352,714477,760697,780575,840611,886216,825238
17/03/2016 11:41,2015,2005 - 2015,2,390,OTHERS,776938,819517,928560,867335,801977,862527,925184,959316,995923,1143083,1425806
